Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E5-2650 v2 , Sep 2013 , Ivy Bridge-EP ,8,16,2600,3400,20480,95,8,166,1.752,0.022, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-4620 v2 , Mar 2014 , Ivy Bridge-EP ,8,16,2600,3000,20480,95,8,166,1.752,0.022, Socket 2011 , 3600 (DMI/QPI) ,2048
 E5-2670 v2 , Sep 2013 , Ivy Bridge-EP ,10,20,2500,3300,25600,115,8,200,1.739,0.022, Socket 2011 , 4000 (DMI/QPI) ,2560
 E5-2628L v2 , Sep 2013 , Ivy Bridge-EP ,8,16,1900,2400,20480,70,8,122,1.737,0.022, Socket 2011 , 3600 (DMI/QPI) ,2048
 E3-1260L , Apr 2011 , Sandy Bridge ,4,8,2400,3300,8192,45,8,77,1.707,0.032, Socket 1155 ,,1024
 E5-2450 v2 , Jan 2014 , Ivy Bridge-EN ,8,16,2500,3300,20480,95,8,160,1.684,0.022, Socket 1356 , 4000 (DMI/QPI) ,2048
 E7-4830 v2 , Feb 2014 , Ivy Bridge-EX ,10,20,2200,2700,20480,105,8,176,1.676,0.022, Socket 2011-1 , 3600 (DMI/QPI) ,2560
 E3-1280 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3600,4000,8192,69,8,115,1.670,0.022, Socket 1155 ,,1024
 E7-8891 v2 , Feb 2014 , Ivy Bridge-EX ,10,20,3200,3700,38400,155,8,256,1.652,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,2560
 E5-2448L , May 2012 , Sandy Bridge-EN ,8,16,1800,2100,20480,70,8,115,1.646,0.032, Socket 1356 , 4000 (DMI/QPI) ,2048
 E5-2450L , May 2012 , Sandy Bridge-EN ,8,16,1800,2300,20480,70,8,115,1.646,0.032, Socket 1356 , 4000 (DMI/QPI) ,2048
 E5-2648L , Mar 2012 , Sandy Bridge-EP ,8,16,1800,2100,20480,70,8,115,1.646,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2650L , Mar 2012 , Sandy Bridge-EP ,8,16,1800,2300,20480,70,8,115,1.646,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2667 v2 , Sep 2013 , Ivy Bridge-EP ,8,16,3300,4000,25600,130,8,211,1.625,0.022, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-4627 v2 , Mar 2014 , Ivy Bridge-EP ,8,8,3300,3600,16384,130,8,211,1.625,0.022, Socket 2011 , 3600 (DMI/QPI) ,2048
 E3-1270 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3500,3900,8192,69,8,112,1.623,0.022, Socket 1155 ,,1024
 E5-4640 , May 2012 , Sandy Bridge-EP ,8,16,2400,2800,20480,95,8,154,1.617,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2430L , May 2012 , Sandy Bridge-EN ,6,12,2000,2500,15360,60,8,96,1.600,0.032, Socket 1356 , 3600 (DMI/QPI) ,1536
 E5-2630L , Mar 2012 , Sandy Bridge-EP ,6,12,2000,2500,15360,60,8,96,1.600,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E3-1240 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3400,3800,8192,69,8,109,1.577,0.022, Socket 1155 ,,1024
 E5-2630 v2 , Sep 2013 , Ivy Bridge-EP ,6,12,2600,3100,15360,80,8,125,1.560,0.022, Socket 2011 , 3600 (DMI/QPI) ,1536
 E5-2470 , May 2012 , Sandy Bridge-EN ,8,16,2300,3100,20480,95,8,147,1.549,0.032, Socket 1356 , 4000 (DMI/QPI) ,2048
 E5-4610 v2 , Mar 2014 , Ivy Bridge-EP ,8,16,2300,2700,16384,95,8,147,1.549,0.022, Socket 2011 , 3600 (DMI/QPI) ,2048
 E3-1230 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3300,3700,8192,69,8,106,1.530,0.022, Socket 1155 ,,1024
 E5-2430 v2 , Jan 2014 , Ivy Bridge-EN ,6,12,2500,3000,15360,80,8,120,1.500,0.022, Socket 1356 , 3600 (DMI/QPI) ,1536
 E5-2660 , Mar 2012 , Sandy Bridge-EP ,8,16,2200,3000,20480,95,8,141,1.482,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-4620 , May 2012 , Sandy Bridge-EP ,8,16,2200,2600,16384,95,8,141,1.482,0.032, Socket 2011 , 3600 (DMI/QPI) ,2048
 E5-1680 v2 , Sep 2013 , Ivy Bridge-EP ,8,16,3000,3900,25600,130,8,192,1.477,0.022, Socket 2011 ,,2048
 E3-1275 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3500,3900,8192,77,8,112,1.455,0.022, Socket 1155 ,,1024
 E5-2687W v2 , Sep 2013 , Ivy Bridge-EP ,8,16,3400,4000,25600,150,8,218,1.451,0.022, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2670 , Mar 2012 , Sandy Bridge-EP ,8,16,2600,3300,20480,115,8,166,1.447,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2689 , Mar 2012 , Sandy Bridge-EP ,8,16,2600,3600,20480,115,8,166,1.447,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-4650L , May 2012 , Sandy Bridge-EP ,8,16,2600,3100,20480,115,8,166,1.447,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
