Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 X5680 , Mar 2010 , Westmere-EP ,6,12,3333,3600,12288,130,4,80,0.615,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E7-2850 , Apr 2011 , Westmere-EX ,10,20,2000,2400,24576,130,4,80,0.615,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-4850 , Apr 2011 , Westmere-EX ,10,20,2000,2400,24576,130,4,80,0.615,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-8850 , Apr 2011 , Westmere-EX ,10,20,2000,2400,24576,130,4,80,0.615,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-2820 , Apr 2011 , Westmere-EX ,8,16,2000,2267,18432,105,4,64,0.610,0.032, Socket 1567 , 2933 (DMI/QPI) ,2048
 E7-4820 , Apr 2011 , Westmere-EX ,8,16,2000,2267,18432,105,4,64,0.610,0.032, Socket 1567 , 2933 (DMI/QPI) ,2048
 L3406 , Mar 2010 , Clarkdale ,2,4,2267,2533,4096,30,4,18,0.605,0.032, Socket 1156 ,,512
 L5520 , Mar 2009 , Nehalem-EP ,4,8,2267,2533,8192,60,4,36,0.605,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 E5-2637 , Mar 2012 , Sandy Bridge-EP ,2,4,3000,3500,5120,80,8,48,0.600,0.032, Socket 2011 , 4000 (DMI/QPI) ,512
 LC5518 , Feb 2010 , Jasper Forest ,4,8,1733,2133,8192,48,4,28,0.578,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 L5506 , Mar 2009 , Nehalem-EP ,4,4,2133,,4096,60,4,34,0.569,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 L5518 , Mar 2009 , Nehalem-EP ,4,8,2133,2400,8192,60,4,34,0.569,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 LC5528 , Feb 2010 , Jasper Forest ,4,8,2133,2533,8192,60,4,34,0.569,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 X7560 , Mar 2010 , Beckton ,8,16,2267,2667,24576,130,4,73,0.558,0.045, Socket 1567 , 3200 (DMI/QPI) ,2048
 X5672 , Feb 2011 , Westmere-EP ,4,8,3200,3600,12288,95,4,51,0.539,0.032, Socket 1366 , 3200 (DMI/QPI) ,1024
 L3403 , Jun 2010 , Clarkdale ,2,2,2000,,4096,30,4,16,0.533,0.032, Socket 1156 ,,512
 E5640 , Mar 2010 , Westmere-EP ,4,8,2667,2933,12288,80,4,43,0.533,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 EC3539 , Feb 2010 , Jasper Forest ,4,4,2133,,8192,65,4,34,0.525,0.045, Socket 1366 ,,1024
 X3480 , May 2010 , Lynnfield ,4,8,3067,3733,8192,95,4,49,0.517,0.045, Socket 1156 ,,1024
 X5667 , Mar 2010 , Westmere-EP ,4,8,3067,3467,12288,95,4,49,0.517,0.032, Socket 1366 , 3200 (DMI/QPI) ,1024
 E5540 , Mar 2009 , Nehalem-EP ,4,8,2533,2800,8192,80,4,41,0.507,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 E5630 , Mar 2010 , Westmere-EP ,4,8,2533,2800,12288,80,4,41,0.507,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 X3470 , Sep 2009 , Lynnfield ,4,8,2933,3600,8192,95,4,47,0.494,0.045, Socket 1156 ,,1024
 X5570 , Mar 2009 , Nehalem-EP ,4,8,2933,3333,8192,95,4,47,0.494,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 X6550 , Mar 2010 , Nehalem-EX ,8,16,2000,2400,18432,130,4,64,0.492,0.045, Socket 1567 , 3200 (DMI/QPI) ,2048
 X7542 , Mar 2010 , Beckton ,6,6,2667,2800,18432,130,4,64,0.492,0.045, Socket 1567 , 2933 (DMI/QPI) ,1536
 X7550 , Mar 2010 , Beckton ,8,16,2000,2400,18432,130,4,64,0.492,0.045, Socket 1567 , 3200 (DMI/QPI) ,2048
 E5530 , Mar 2009 , Nehalem-EP ,4,8,2400,2667,8192,80,4,38,0.480,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 E5620 , Mar 2010 , Westmere-EP ,4,8,2400,2667,12288,80,4,38,0.480,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 EC5549 , Feb 2010 , Jasper Forest ,4,8,2533,2933,8192,85,4,41,0.477,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 X3460 , Sep 2009 , Lynnfield ,4,8,2800,3467,8192,95,4,45,0.472,0.045, Socket 1156 ,,1024
 X5560 , Mar 2009 , Nehalem-EP ,4,8,2800,3200,8192,95,4,45,0.472,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 E7-4807 , Apr 2011 , Westmere-EX ,6,12,1867,,18432,95,4,45,0.472,0.032, Socket 1567 , 2400 (DMI/QPI) ,1536
 L7545 , Mar 2010 , Beckton ,6,12,1867,2533,18432,95,4,45,0.472,0.045, Socket 1567 , 2933 (DMI/QPI) ,1536
 E6540 , Mar 2010 , Nehalem-EX ,6,12,2000,2267,18432,105,4,48,0.457,0.045, Socket 1567 , 3200 (DMI/QPI) ,1536
 E7540 , Mar 2010 , Beckton ,6,12,2000,2267,18432,105,4,48,0.457,0.045, Socket 1567 , 3200 (DMI/QPI) ,1536
 E5507 , Mar 2010 , Nehalem-EP ,4,4,2267,,4096,80,4,36,0.453,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 E5520 , Mar 2009 , Nehalem-EP ,4,8,2267,2533,8192,80,4,36,0.453,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 E5607 , Feb 2011 , Westmere-EP ,4,4,2267,,8192,80,4,36,0.453,0.032, Socket 1366 , 2400 (DMI/QPI) ,1024
 X3450 , Sep 2009 , Lynnfield ,4,8,2667,3200,8192,95,4,43,0.449,0.045, Socket 1156 ,,1024
 X5550 , Mar 2009 , Nehalem-EP ,4,8,2667,3067,8192,95,4,43,0.449,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 X5687 , Feb 2011 , Westmere-EP ,4,8,3600,3867,12288,130,4,58,0.443,0.032, Socket 1366 , 3200 (DMI/QPI) ,1024
 X3440 , Sep 2009 , Lynnfield ,4,8,2533,2933,8192,95,4,41,0.427,0.045, Socket 1156 ,,1024
 E5506 , Mar 2009 , Nehalem-EP ,4,4,2133,,4096,80,4,34,0.427,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 E5606 , Feb 2011 , Westmere-EP ,4,4,2133,,8192,80,4,34,0.427,0.032, Socket 1366 , 2400 (DMI/QPI) ,1024
 X5677 , Mar 2010 , Westmere-EP ,4,8,3467,3733,12288,130,4,55,0.427,0.032, Socket 1366 , 3200 (DMI/QPI) ,1024
 E7530 , Mar 2010 , Beckton ,6,12,1867,2133,12288,105,4,45,0.427,0.045, Socket 1567 , 2933 (DMI/QPI) ,1536
 L5508 , Mar 2009 , Nehalem-EP ,2,4,2000,2400,8192,38,4,16,0.421,0.045, Socket 1366 , 2933 (DMI/QPI) ,512
 W3580 , Aug 2009 , Nehalem-WS ,4,8,3333,3600,8192,130,4,53,0.410,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 W5590 , Aug 2009 , Nehalem-EP ,4,8,3333,3600,8192,130,4,53,0.410,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 X3430 , Sep 2009 , Lynnfield ,4,4,2400,2800,8192,95,4,38,0.404,0.045, Socket 1156 ,,1024
 E5504 , Mar 2009 , Nehalem-EP ,4,4,2000,,4096,80,4,32,0.400,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 LC3528 , Feb 2010 , Jasper Forest ,2,4,1733,2133,4096,35,4,14,0.396,0.045, Socket 1366 ,,512
 E7-2803 , Apr 2011 , Westmere-EX ,6,12,1733,,18432,105,4,42,0.396,0.032, Socket 1567 , 2400 (DMI/QPI) ,1536
 W3565 , Nov 2009 , Nehalem-WS ,4,8,3200,3467,8192,130,4,51,0.394,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 W3570 , Mar 2009 , Nehalem-WS ,4,8,3200,3467,8192,130,4,51,0.394,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 W5580 , Mar 2009 , Nehalem-EP ,4,8,3200,3467,8192,130,4,51,0.394,0.045, Socket 1366 , 3200 (DMI/QPI) ,1024
 W3550 , Aug 2009 , Nehalem-WS ,4,8,3067,3333,8192,130,4,49,0.377,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 EC5509 , Feb 2010 , Jasper Forest ,4,4,2000,,8192,85,4,32,0.376,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 W3540 , Mar 2009 , Nehalem-WS ,4,8,2933,3200,8192,130,4,47,0.361,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 X5647 , Feb 2011 , Westmere-EP ,4,8,2933,3200,12288,130,4,47,0.361,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 W3530 , Mar 2010 , Nehalem-WS ,4,8,2800,3067,8192,130,4,45,0.345,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 W3520 , Mar 2009 , Nehalem-WS ,4,8,2667,2933,8192,130,4,43,0.328,0.045, Socket 1366 , 2400 (DMI/QPI) ,1024
 E5603 , Feb 2011 , Westmere-EP ,4,4,1600,,4096,80,4,26,0.320,0.032, Socket 1366 , 2400 (DMI/QPI) ,1024
 E7520 , Mar 2010 , Beckton ,4,8,1867,,18432,95,4,30,0.314,0.045, Socket 1567 , 2400 (DMI/QPI) ,1024
 LC3518 , Feb 2010 , Jasper Forest ,1,1,1733,,2048,23,4,7,0.301,0.045, Socket 1366 ,,256
 EC5539 , Feb 2010 , Jasper Forest ,2,2,2267,,4096,65,4,18,0.279,0.045, Socket 1366 , 2933 (DMI/QPI) ,512
 X5698 , Mar 2011 , Westmere-EP ,2,4,4400,,12288,130,4,35,0.271,0.032, Socket 1366 ,,512
 E6510 , Mar 2010 , Nehalem-EX ,4,8,1733,,12288,105,4,28,0.264,0.045, Socket 1567 , 2400 (DMI/QPI) ,1024
 E5503 , Mar 2010 , Nehalem-EP ,2,2,2000,,4096,80,4,16,0.200,0.045, Socket 1366 , 2400 (DMI/QPI) ,512
 E5502 , Mar 2009 , Nehalem-EP ,2,2,1867,,4096,80,4,15,0.187,0.045, Socket 1366 , 2400 (DMI/QPI) ,512
 W3505 , Mar 2009 , Nehalem-WS ,2,2,2533,,4096,130,4,20,0.156,0.045, Socket 1366 , 2400 (DMI/QPI) ,512
 W3503 , Mar 2009 , Nehalem-WS ,2,2,2400,,4096,130,4,19,0.148,0.045, Socket 1366 , 2400 (DMI/QPI) ,512
 E3-1105C , May 2012 , Sandy Bridge Gladden ,4,8,1000,,6144,25,,0,0.000,0.032, BGA1284 ,,1024
 E3-1105C v2 , Sep 2013 , Ivy Bridge Gladden ,4,8,1800,,8192,25,,0,0.000,0.022, BGA1284 ,,1024
 E3-1125C , May 2012 , Sandy Bridge Gladden ,4,8,2000,,8192,40,,0,0.000,0.032, BGA1284 ,,1024
 E3-1125C v2 , Sep 2013 , Ivy Bridge Gladden ,4,8,2500,,8192,40,,0,0.000,0.022, BGA1284 ,,1024
 E3-1135C v2 , Sep 2013 , Ivy Bridge Gladden ,4,8,3000,,8192,55,,0,0.000,0.022, BGA1284 ,,1024
 E3-1284L v3 , Feb 2014 , Crystal Well ,4,8,1800,3200,6144,47,,0,0.000,0.022, BGA1364 ,,1024
 W3670 , Aug 2010 ,,6,12,3200,3467,12288,130,,0,0.000,0.032, Socket 1366 , 2400 (DMI/QPI) ,1536
 W3680 , Mar 2010 ,,6,12,3333,3600,12288,130,,0,0.000,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 W3690 , Feb 2011 ,,6,12,3467,3733,12288,130,,0,0.000,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 X5679 ,, Westmere-EP ,6,12,3200,,12288, ,4,77,0.000,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E5-2651 v2 , Nov 2013 , Ivy Bridge-EP ,12,24,1800,,30720, ,8,173,0.000,0.022, Socket 2011 ,,3072
 E5-2696 v2 ,, Ivy Bridge-EP ,12,24,2500,3300,30720, ,8,240,0.000,0.022, Socket 2011 ,,3072
